name,image,color,type
intelligence blue,8.png,blue,intelligence
defence blue,5.png,blue,defence
intelligence gray,7.png,gray,intelligence
defence violent,6.png,violent,defence
attack gray,1.png,gray,attack
intelligence gray,7.png,gray,intelligence
attack gray,1.png,gray,attack
attack violent,3.png,violent,attack
attack gray,1.png,gray,attack
attack blue,2.png,blue,attack
defence violent,6.png,violent,defence
defence gray,4.png,gray,defence
attack blue,2.png,blue,attack
intelligence gray,7.png,gray,intelligence
defence blue,5.png,blue,defence
defence violent,6.png,violent,defence
intelligence gray,7.png,gray,intelligence
defence blue,5.png,blue,defence
intelligence gray,7.png,gray,intelligence
defence blue,5.png,blue,defence
intelligence violent,9.png,violent,intelligence
attack gray,1.png,gray,attack
defence gray,4.png,gray,defence
attack blue,2.png,blue,attack
attack gray,1.png,gray,attack
attack violent,3.png,violent,attack
attack blue,2.png,blue,attack
defence blue,5.png,blue,defence
attack gray,1.png,gray,attack
intelligence blue,8.png,blue,intelligence
attack blue,2.png,blue,attack
attack gray,1.png,gray,attack
intelligence blue,8.png,blue,intelligence
attack gray,1.png,gray,attack
defence gray,4.png,gray,defence
attack gray,1.png,gray,attack
defence gray,4.png,gray,defence
attack blue,2.png,blue,attack
defence gray,4.png,gray,defence
defence violent,6.png,violent,defence
intelligence blue,8.png,blue,intelligence
intelligence blue,8.png,blue,intelligence
intelligence blue,8.png,blue,intelligence
attack blue,2.png,blue,attack
defence blue,5.png,blue,defence
intelligence blue,8.png,blue,intelligence
defence gray,4.png,gray,defence
intelligence blue,8.png,blue,intelligence
defence gray,4.png,gray,defence
attack violent,3.png,violent,attack
defence gray,4.png,gray,defence
intelligence violent,9.png,violent,intelligence
intelligence violent,9.png,violent,intelligence
defence gray,4.png,gray,defence
defence blue,5.png,blue,defence
intelligence violent,9.png,violent,intelligence
defence blue,5.png,blue,defence
intelligence gray,7.png,gray,intelligence
attack violent,3.png,violent,attack
intelligence gray,7.png,gray,intelligence
defence blue,5.png,blue,defence
intelligence gray,7.png,gray,intelligence
attack gray,1.png,gray,attack
defence gray,4.png,gray,defence
intelligence gray,7.png,gray,intelligence
intelligence gray,7.png,gray,intelligence
attack gray,1.png,gray,attack
intelligence gray,7.png,gray,intelligence
defence gray,4.png,gray,defence
attack gray,1.png,gray,attack
intelligence gray,7.png,gray,intelligence
defence gray,4.png,gray,defence
attack blue,2.png,blue,attack
defence gray,4.png,gray,defence
attack blue,2.png,blue,attack
defence blue,5.png,blue,defence
intelligence blue,8.png,blue,intelligence
attack gray,1.png,gray,attack
intelligence gray,7.png,gray,intelligence
intelligence gray,7.png,gray,intelligence
defence gray,4.png,gray,defence
attack blue,2.png,blue,attack
attack gray,1.png,gray,attack
attack gray,1.png,gray,attack
intelligence violent,9.png,violent,intelligence
defence violent,6.png,violent,defence
intelligence gray,7.png,gray,intelligence
intelligence blue,8.png,blue,intelligence
attack violent,3.png,violent,attack
defence gray,4.png,gray,defence
